tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2025-6932,Rio de Janeiro,Clay,32,A,20250217,366,202103,4,,Francisco Cerundolo,R,185,ARG,26.5,200384,,,Hugo Gaston,L,173,FRA,24.3,7-6(9) 6-0,3,R32,101,4,3,70,40,28,14,9,6,9,2,4,78,43,26,13,9,8,14,26,1825,93,636
2025-6932,Rio de Janeiro,Clay,32,A,20250217,365,209260,,,Luciano Darderi,R,183,ITA,23.0,106198,,Q,Hugo Dellien,R,180,BOL,31.6,7-6(2) 2-2 RET,3,R32,87,11,2,57,36,23,14,8,0,2,1,1,56,43,28,5,8,3,5,61,945,108,553
2025-6932,Rio de Janeiro,Clay,32,A,20250217,364,124186,,,Alexandre Muller,R,183,FRA,28.0,211663,,SE,Joao Fonseca,R,185,BRA,18.4,6-1 7-6(4),3,R32,92,2,2,66,44,34,15,10,2,2,5,2,71,51,36,6,9,8,10,60,953,68,850
2025-6932,Rio de Janeiro,Clay,32,A,20250217,363,144869,8,,Tomas Martin Etcheverry,R,196,ARG,25.5,144895,,,Corentin Moutet,L,180,FRA,25.8,6-3 7-6(1),3,R32,111,2,3,65,50,39,7,10,5,6,4,1,67,42,27,13,11,3,6,43,1215,66,897
2025-6932,Rio de Janeiro,Clay,32,A,20250217,362,202104,5,,Sebastian Baez,R,170,ARG,24.1,208882,,LL,Roman Andres Burruchaga,R,183,ARG,23.0,6-3 7-5,3,R32,97,2,2,63,45,28,14,11,4,6,1,3,57,30,17,14,10,3,7,31,1510,137,435
2025-6932,Rio de Janeiro,Clay,32,A,20250217,361,208363,,,Mariano Navone,R,178,ARG,23.9,106148,,,Roberto Carballes Baena,R,183,ESP,31.9,6-4 6-3,3,R32,96,3,2,61,39,29,8,9,5,7,1,2,55,35,20,8,10,1,6,46,1195,53,1071
2025-6932,Rio de Janeiro,Clay,32,A,20250217,360,106329,,WC,Thiago Monteiro,L,183,BRA,30.7,207680,,,Facundo Diaz Acosta,L,183,ARG,24.1,3-6 6-3 7-6(3),3,R32,159,6,3,93,57,44,20,15,1,2,8,3,89,58,46,17,15,4,5,99,590,119,498
2025-6932,Rio de Janeiro,Clay,32,A,20250217,359,202358,,Q,Chun Hsin Tseng,R,175,TPE,23.5,126214,3,,Alejandro Tabilo,L,188,CHI,27.7,6-2 7-5,3,R32,96,6,2,64,39,29,13,10,7,9,0,4,72,37,22,13,10,8,13,125,480,28,1690
2025-6932,Rio de Janeiro,Clay,32,A,20250217,358,200116,,LL,Camilo Ugo Carabelli,R,185,ARG,25.6,124079,7,,Pedro Martinez,R,185,ESP,27.8,4-6 6-3 6-3,3,R32,143,5,2,96,67,46,10,14,5,9,0,5,76,59,35,7,14,2,8,91,644,37,1385
2025-6932,Rio de Janeiro,Clay,32,A,20250217,357,106000,,,Damir Dzumhur,R,175,BIH,32.7,105583,,,Dusan Lajovic,R,183,SRB,34.6,6-3 6-4,3,R32,89,3,1,59,38,26,17,10,1,1,3,1,69,52,33,7,9,7,9,97,619,83,692
2025-6932,Rio de Janeiro,Clay,32,A,20250217,356,144719,,,Jaume Munar,R,183,ESP,27.7,205734,,,Thiago Seyboth Wild,R,185,BRA,24.9,6-4 3-6 6-0,3,R32,115,3,3,71,47,34,11,12,5,7,1,2,70,44,28,13,13,2,7,55,1032,75,757
2025-6932,Rio de Janeiro,Clay,32,A,20250217,355,210262,,LL,Jaime Faria,R,188,POR,21.5,144642,,Q,Tomas Barrios Vera,R,191,CHI,27.1,6-2 7-5,3,R32,87,6,5,59,31,26,14,10,3,4,2,3,61,37,26,9,10,4,8,107,561,139,432
2025-0807,Acapulco,Hard,32,A,20250224,385,207830,8,,Tomas Machac,R,183,CZE,24.3,200221,,,Alejandro Davidovich Fokina,R,183,ESP,25.7,7-6(6) 6-2,3,F,97,11,2,61,39,37,12,10,1,1,4,2,71,42,26,18,10,1,3,25,1855,48,1095
2025-0807,Acapulco,Hard,32,A,20250224,384,207830,8,,Tomas Machac,R,183,CZE,24.3,206909,,,Brandon Nakashima,R,188,USA,23.5,6-4 1-6 6-4,3,SF,123,4,2,79,47,33,18,13,5,8,7,0,83,53,39,16,14,3,6,25,1855,42,1265
2025-0807,Acapulco,Hard,32,A,20250224,383,200221,,,Alejandro Davidovich Fokina,R,183,ESP,25.7,133430,9,,Denis Shapovalov,L,185,CAN,25.8,7-6(3) 7-6(1),3,SF,135,0,2,81,57,37,12,12,3,7,2,3,94,51,32,19,12,6,10,48,1095,32,1496
2025-0807,Acapulco,Hard,32,A,20250224,382,207830,8,,Tomas Machac,R,183,CZE,24.3,210530,,Q,Learner Tien,L,180,USA,19.2,6-3 7-5,3,QF,98,1,2,56,32,22,12,10,1,4,3,3,83,51,28,12,11,8,14,25,1855,83,732
2025-0807,Acapulco,Hard,32,A,20250224,381,206909,,,Brandon Nakashima,R,188,USA,23.5,105676,,,David Goffin,R,180,BEL,34.2,7-6(4) 6-2,3,QF,122,12,1,78,51,34,10,10,5,8,1,2,78,42,22,17,10,6,11,42,1265,63,906
2025-0807,Acapulco,Hard,32,A,20250224,380,133430,9,,Denis Shapovalov,L,185,CAN,25.8,106218,,,Marcos Giron,R,180,USA,31.5,4-6 6-3 6-2,3,QF,130,3,3,80,55,34,17,14,2,5,2,0,83,54,37,10,13,5,10,32,1496,52,1060
2025-0807,Acapulco,Hard,32,A,20250224,379,200221,,,Alejandro Davidovich Fokina,R,183,ESP,25.7,210202,,WC,Rodrigo Pacheco Mendez,L,188,MEX,19.8,6-2 6-2,3,QF,68,1,3,47,32,25,6,8,1,2,3,2,47,31,17,5,8,4,9,48,1095,356,142
2025-0807,Acapulco,Hard,32,A,20250224,378,210530,,Q,Learner Tien,L,180,USA,19.2,100644,1,,Alexander Zverev,R,198,GER,27.8,6-3 6-4,3,R16,88,4,0,58,40,28,11,10,2,3,6,0,59,44,30,5,9,3,6,83,732,2,8135
2025-0807,Acapulco,Hard,32,A,20250224,377,207830,8,,Tomas Machac,R,183,CZE,24.3,127157,,WC,Daniel Altmaier,R,188,GER,26.4,7-6(3) 6-1,3,R16,98,5,3,69,42,33,15,10,1,2,3,0,61,41,23,12,9,2,5,25,1855,76,768
2025-0807,Acapulco,Hard,32,A,20250224,376,206909,,,Brandon Nakashima,R,188,USA,23.5,208029,4,,Holger Rune,R,188,DEN,21.8,3-0 RET,3,R16,10,2,0,10,5,5,3,2,0,0,0,0,6,3,1,1,1,0,1,42,1265,13,2970
2025-0807,Acapulco,Hard,32,A,20250224,375,105676,,,David Goffin,R,180,BEL,34.2,210097,5,,Ben Shelton,L,193,USA,22.3,7-6(3) 6-3,3,R16,105,1,1,61,38,28,17,11,0,1,6,4,72,43,30,14,10,6,8,63,906,14,2930
2025-0807,Acapulco,Hard,32,A,20250224,374,133430,9,,Denis Shapovalov,L,185,CAN,25.8,210506,,,Alex Michelsen,R,193,USA,20.5,6-4 6-3,3,R16,84,3,3,53,30,20,17,10,3,5,0,5,56,34,16,11,9,2,6,32,1496,34,1420
2025-0807,Acapulco,Hard,32,A,20250224,373,106218,,,Marcos Giron,R,180,USA,31.5,126205,3,,Tommy Paul,R,185,USA,27.7,W/O,3,R16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1060,10,3280
2025-0807,Acapulco,Hard,32,A,20250224,372,200221,,,Alejandro Davidovich Fokina,R,183,ESP,25.7,126207,7,,Frances Tiafoe,R,188,USA,27.0,6-3 6-7(6) 6-3,3,R16,147,10,2,96,69,51,14,16,3,6,10,3,98,59,42,17,14,10,15,48,1095,18,2485
2025-0807,Acapulco,Hard,32,A,20250224,371,210202,,WC,Rodrigo Pacheco Mendez,L,188,MEX,19.8,134770,2,,Casper Ruud,R,183,NOR,26.1,W/O,3,R16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,142,5,4325
2025-0807,Acapulco,Hard,32,A,20250224,370,100644,1,,Alexander Zverev,R,198,GER,27.8,208286,,,Matteo Arnaldi,R,185,ITA,24.0,6-7(2) 6-3 6-4,3,R32,164,8,1,98,63,49,21,16,3,3,6,1,86,55,43,19,15,2,4,2,8135,33,1430
2025-0807,Acapulco,Hard,32,A,20250224,369,210530,,Q,Learner Tien,L,180,USA,19.2,111815,,,Cameron Norrie,L,188,GBR,29.5,7-6(5) 6-3,3,R32,111,2,1,61,43,29,8,10,2,5,6,1,77,54,30,8,11,2,7,83,732,74,784
2025-0807,Acapulco,Hard,32,A,20250224,368,127157,,WC,Daniel Altmaier,R,188,GER,26.4,200175,,,Miomir Kecmanovic,R,183,SRB,25.4,4-6 6-4 6-3,3,R32,131,15,1,90,60,40,14,15,3,7,4,0,79,48,34,12,14,2,7,76,768,44,1236
2025-0807,Acapulco,Hard,32,A,20250224,367,207830,8,,Tomas Machac,R,183,CZE,24.3,210150,,,Jakub Mensik,R,193,CZE,19.4,6-4 2-6 6-3,3,R32,134,2,4,82,49,34,15,13,3,7,12,9,89,42,29,18,14,6,11,25,1855,54,1042
2025-0807,Acapulco,Hard,32,A,20250224,366,208029,4,,Holger Rune,R,188,DEN,21.8,106148,,,Roberto Carballes Baena,R,183,ESP,31.9,7-6(4) 6-3,3,R32,118,3,0,69,41,32,12,11,2,4,1,1,66,48,31,7,10,3,6,13,2970,50,1071
2025-0807,Acapulco,Hard,32,A,20250224,365,206909,,,Brandon Nakashima,R,188,USA,23.5,126127,,,Benjamin Bonzi,R,183,FRA,28.7,7-6(6) 7-5,3,R32,136,5,1,83,46,36,18,12,5,7,2,0,95,53,35,21,12,13,16,42,1265,62,910
2025-0807,Acapulco,Hard,32,A,20250224,364,105676,,,David Goffin,R,180,BEL,34.2,208014,,,Rinky Hijikata,R,178,AUS,24.0,6-2 6-3,3,R32,84,3,0,35,23,19,10,8,0,1,0,5,79,45,24,14,9,10,15,63,906,82,735
2025-0807,Acapulco,Hard,32,A,20250224,363,210097,5,,Ben Shelton,L,193,USA,22.3,207925,,,Flavio Cobolli,R,183,ITA,22.8,7-6(4) 7-6(4),3,R32,121,13,2,78,54,41,15,12,3,4,2,0,79,41,33,21,12,4,5,14,2930,39,1345
2025-0807,Acapulco,Hard,32,A,20250224,362,133430,9,,Denis Shapovalov,L,185,CAN,25.8,210460,,Q,Nishesh Basavareddy,R,180,USA,19.8,7-5 6-2,3,R32,98,6,9,57,26,20,17,10,3,5,1,2,74,47,26,11,10,7,12,32,1496,106,562
2025-0807,Acapulco,Hard,32,A,20250224,361,210506,,,Alex Michelsen,R,193,USA,20.5,207352,,WC,Bu Yunchaokete,R,185,CHN,23.0,2-6 7-6(5) 7-6(5),3,R32,173,6,3,121,83,53,14,16,6,13,10,3,105,65,46,15,16,4,9,34,1420,68,847
2025-0807,Acapulco,Hard,32,A,20250224,360,106218,,,Marcos Giron,R,180,USA,31.5,200443,,Q,Adam Walton,R,183,AUS,25.8,7-6(4) 6-2,3,R32,94,12,1,55,37,30,12,10,1,2,3,0,69,51,31,8,10,4,7,52,1060,97,616
2025-0807,Acapulco,Hard,32,A,20250224,359,126205,3,,Tommy Paul,R,185,USA,27.7,209113,,Q,Gabriel Diallo,R,203,CAN,23.4,6-2 6-2,3,R32,74,0,3,57,31,21,17,8,5,5,4,2,47,26,15,10,8,3,7,10,3280,89,665
2025-0807,Acapulco,Hard,32,A,20250224,358,126207,7,,Frances Tiafoe,R,188,USA,27.0,124186,,,Alexandre Muller,R,183,FRA,28.0,6-4 6-2,3,R32,70,5,3,57,29,23,12,9,3,5,1,0,55,36,17,10,9,2,7,18,2485,41,1270
2025-0807,Acapulco,Hard,32,A,20250224,357,200221,,,Alejandro Davidovich Fokina,R,183,ESP,25.7,208233,,LL,Mattia Bellucci,L,175,ITA,23.7,1-6 7-6(6) 6-2,3,R32,139,5,1,74,50,38,14,13,3,5,5,4,92,54,40,17,14,5,7,48,1095,70,833
2025-0807,Acapulco,Hard,32,A,20250224,356,210202,,WC,Rodrigo Pacheco Mendez,L,188,MEX,19.8,126846,,,Aleksandar Vukic,R,188,AUS,28.8,7-5 4-6 7-6(4),3,R32,181,12,1,102,71,55,18,17,6,8,16,3,128,79,56,23,17,10,12,356,142,66,868
2025-0807,Acapulco,Hard,32,A,20250224,355,134770,2,,Casper Ruud,R,183,NOR,26.1,126239,,,Arthur Rinderknech,R,196,FRA,29.5,6-4 6-3,3,R32,102,6,0,57,45,35,5,10,2,3,7,1,68,51,29,8,9,6,9,5,4325,61,911
2025-0495,Dubai,Hard,32,A,20250224,385,126774,4,,Stefanos Tsitsipas,R,193,GRE,26.5,200000,,,Felix Auger Aliassime,R,193,CAN,24.5,6-3 6-3,3,F,88,4,4,66,42,35,9,9,7,7,4,2,52,34,24,7,9,3,6,11,3005,21,2155
2025-0495,Dubai,Hard,32,A,20250224,384,126774,4,,Stefanos Tsitsipas,R,193,GRE,26.5,134868,,,Tallon Griekspoor,R,188,NED,28.6,6-4 6-4,3,SF,83,7,2,50,32,29,11,10,0,0,6,1,65,45,32,10,10,2,4,11,3005,47,1120
2025-0495,Dubai,Hard,32,A,20250224,383,200000,,,Felix Auger Aliassime,R,193,CAN,24.5,111460,,Q,Quentin Halys,R,191,FRA,28.3,5-7 6-4 6-3,3,SF,136,10,5,101,66,49,15,15,7,9,5,1,89,61,40,16,16,3,7,21,2155,77,751
2025-0495,Dubai,Hard,32,A,20250224,382,134868,,,Tallon Griekspoor,R,188,NED,28.6,106421,1,,Daniil Medvedev,R,198,RUS,29.0,2-6 7-6(7) 7-5,3,QF,156,5,1,112,81,55,16,16,11,14,15,4,109,78,55,19,16,5,7,47,1120,6,4030
2025-0495,Dubai,Hard,32,A,20250224,381,126774,4,,Stefanos Tsitsipas,R,193,GRE,26.5,126610,,,Matteo Berrettini,R,196,ITA,28.8,7-6(5) 1-6 6-4,3,QF,117,7,2,84,55,45,15,14,4,6,6,0,80,62,49,14,15,3,4,11,3005,30,1530
2025-0495,Dubai,Hard,32,A,20250224,380,111460,,Q,Quentin Halys,R,191,FRA,28.3,208134,,LL,Luca Nardi,R,185,ITA,21.5,2-6 6-3 7-6(5),3,QF,126,12,4,99,59,46,19,15,6,9,2,1,83,46,37,23,14,8,10,77,751,79,749
2025-0495,Dubai,Hard,32,A,20250224,379,200000,,,Felix Auger Aliassime,R,193,CAN,24.5,105227,,PR,Marin Cilic,R,198,CRO,36.4,6-4 3-6 6-2,3,QF,136,13,2,79,53,41,13,13,6,7,3,4,85,55,42,14,14,7,10,21,2155,187,313
2025-0495,Dubai,Hard,32,A,20250224,378,106421,1,,Daniil Medvedev,R,198,RUS,29.0,208659,,,Giovanni Mpetshi Perricard,R,203,FRA,21.6,6-4 6-4,3,R16,82,6,1,48,24,23,17,10,0,0,3,6,74,49,33,12,10,8,10,6,4030,29,1580
2025-0495,Dubai,Hard,32,A,20250224,377,134868,,,Tallon Griekspoor,R,188,NED,28.6,200005,5,,Ugo Humbert,L,188,FRA,26.6,4-6 6-3 6-2,3,R16,120,13,2,93,62,47,15,14,6,7,8,0,76,43,32,17,13,4,7,47,1120,15,2825
2025-0495,Dubai,Hard,32,A,20250224,376,126774,4,,Stefanos Tsitsipas,R,193,GRE,26.5,111575,,,Karen Khachanov,R,198,RUS,28.7,7-6(4) 2-6 6-4,3,R16,148,7,7,99,61,49,17,15,6,9,7,2,108,63,50,21,15,7,9,11,3005,24,1960
2025-0495,Dubai,Hard,32,A,20250224,375,126610,,,Matteo Berrettini,R,196,ITA,28.8,106331,,Q,Christopher Oconnell,R,183,AUS,30.7,7-6(2) 6-2,3,R16,90,15,0,52,35,31,14,10,0,0,4,0,74,51,27,16,10,5,7,30,1530,75,780
2025-0495,Dubai,Hard,32,A,20250224,374,208134,,LL,Luca Nardi,R,185,ITA,21.5,200267,,,Zizou Bergs,R,185,BEL,25.7,6-4 7-6(3),3,R16,100,5,2,73,45,33,15,11,5,7,4,3,64,31,24,14,11,0,3,79,749,56,1035
2025-0495,Dubai,Hard,32,A,20250224,373,111460,,Q,Quentin Halys,R,191,FRA,28.3,105138,,,Roberto Bautista Agut,R,183,ESP,36.8,7-6(5) 6-4,3,R16,99,15,3,73,40,36,16,11,5,6,4,4,69,49,39,8,11,3,5,77,751,53,1052
2025-0495,Dubai,Hard,32,A,20250224,372,200000,,,Felix Auger Aliassime,R,193,CAN,24.5,132686,,,Nuno Borges,R,185,POR,28.0,4-6 6-3 7-5,3,R16,139,9,1,92,67,52,12,16,4,6,9,3,94,67,48,11,15,7,10,21,2155,38,1345
2025-0495,Dubai,Hard,32,A,20250224,371,105227,,PR,Marin Cilic,R,198,CRO,36.4,200615,,,Alexei Popyrin,R,196,AUS,25.5,5-7 6-3 6-4,3,R16,134,6,1,98,63,50,16,16,3,4,16,1,78,55,46,11,15,4,6,187,313,27,1700
2025-0495,Dubai,Hard,32,A,20250224,370,106421,1,,Daniil Medvedev,R,198,RUS,29.0,105526,,,Jan Lennard Struff,R,193,GER,34.8,6-4 7-6(4),3,R32,104,7,3,71,39,31,20,11,4,4,2,2,94,62,44,14,11,9,10,6,4030,46,1200
2025-0495,Dubai,Hard,32,A,20250224,369,208659,,,Giovanni Mpetshi Perricard,R,203,FRA,21.6,111190,,,Zhizhen Zhang,R,193,CHN,28.3,6-3 7-6(3),3,R32,87,13,2,71,49,42,12,11,2,2,7,1,70,48,37,11,10,6,7,29,1580,49,1075
2025-0495,Dubai,Hard,32,A,20250224,368,134868,,,Tallon Griekspoor,R,188,NED,28.6,126128,,Q,Roman Safiullin,R,185,RUS,27.5,5-7 7-6(4) 7-6(1),3,R32,179,17,5,130,92,67,20,18,10,12,10,7,115,64,50,30,18,2,3,47,1120,72,823
2025-0495,Dubai,Hard,32,A,20250224,367,200005,5,,Ugo Humbert,L,188,FRA,26.6,208103,,,Jiri Lehecka,R,185,CZE,23.2,6-3 6-0,3,R32,68,6,0,48,29,24,11,8,2,2,1,1,55,36,19,6,7,6,10,15,2825,22,2035
2025-0495,Dubai,Hard,32,A,20250224,366,126774,4,,Stefanos Tsitsipas,R,193,GRE,26.5,132283,,,Lorenzo Sonego,R,191,ITA,29.7,7-6(4) 6-3,3,R32,97,3,1,60,42,34,13,11,1,2,1,1,67,42,30,12,10,4,6,11,3005,35,1401
2025-0495,Dubai,Hard,32,A,20250224,365,111575,,,Karen Khachanov,R,198,RUS,28.7,105554,,WC,Daniel Evans,R,175,GBR,34.7,6-1 6-3,3,R32,80,0,1,49,27,20,15,8,3,4,0,4,50,28,19,4,8,5,10,24,1960,178,321
2025-0495,Dubai,Hard,32,A,20250224,364,126610,,,Matteo Berrettini,R,196,ITA,28.8,104792,,,Gael Monfils,R,193,FRA,38.4,7-5 6-4,3,R32,83,9,2,53,39,35,5,11,4,6,5,4,63,37,24,12,11,0,4,30,1530,40,1280
2025-0495,Dubai,Hard,32,A,20250224,363,106331,,Q,Christopher Oconnell,R,183,AUS,30.7,105777,6,,Grigor Dimitrov,R,191,BUL,33.7,6-0 0-0 RET,3,R32,26,2,0,17,9,7,5,3,0,0,0,2,21,12,5,2,3,4,7,75,780,16,2745
2025-0495,Dubai,Hard,32,A,20250224,362,208134,,LL,Luca Nardi,R,185,ITA,21.5,105916,,Q,Marton Fucsovics,R,188,HUN,33.0,1-6 6-2 6-3,3,R32,132,2,6,111,56,38,25,12,12,15,4,6,69,39,26,14,12,2,6,79,749,88,666
2025-0495,Dubai,Hard,32,A,20250224,361,200267,,,Zizou Bergs,R,185,BEL,25.7,144826,,WC,Aziz Dougaz,L,188,TUN,27.9,6-3 6-3,3,R32,74,1,0,50,27,20,16,9,0,1,3,1,46,28,18,5,9,1,5,56,1035,212,265
2025-0495,Dubai,Hard,32,A,20250224,360,105138,,,Roberto Bautista Agut,R,183,ESP,36.8,206681,,,Fabian Marozsan,R,193,HUN,25.3,3-6 6-3 7-6(4),3,R32,156,10,3,116,87,62,10,15,8,10,9,3,97,49,39,24,15,1,3,53,1052,55,1035
2025-0495,Dubai,Hard,32,A,20250224,359,111460,,Q,Quentin Halys,R,191,FRA,28.3,126094,3,,Andrey Rublev,R,188,RUS,27.3,3-6 6-4 7-6(5),3,R32,132,18,6,98,54,43,25,15,10,12,5,2,91,54,44,21,16,4,6,77,751,9,3670
2025-0495,Dubai,Hard,32,A,20250224,358,132686,,,Nuno Borges,R,185,POR,28.0,209950,8,,Arthur Fils,R,185,FRA,20.7,6-2 6-1,3,R32,61,4,1,44,29,22,10,7,3,3,2,3,57,32,19,8,8,7,12,38,1345,19,2355
2025-0495,Dubai,Hard,32,A,20250224,357,200000,,,Felix Auger Aliassime,R,193,CAN,24.5,122330,,,Alexander Bublik,R,196,KAZ,27.6,7-6(7) 6-7(4) 6-3,3,R32,169,8,5,113,81,62,17,16,6,7,16,7,126,79,52,27,17,14,17,21,2155,51,1065
2025-0495,Dubai,Hard,32,A,20250224,356,200615,,,Alexei Popyrin,R,196,AUS,25.5,200273,,WC,Hady Habib,R,188,LIB,26.5,6-2 6-4,3,R32,65,8,1,45,30,28,9,9,0,0,9,1,52,27,20,12,9,3,6,27,1700,168,339
2025-0495,Dubai,Hard,32,A,20250224,355,105227,,PR,Marin Cilic,R,198,CRO,36.4,200282,2,,Alex De Minaur,R,183,AUS,26.0,6-2 3-6 6-3,3,R32,137,3,3,90,54,37,20,13,5,7,2,4,74,36,24,18,13,0,4,187,313,8,3785
2025-8996,Santiago,Clay,28,A,20250224,385,111513,,,Laslo Djere,R,188,SRB,29.7,202104,3,,Sebastian Baez,R,170,ARG,24.1,6-4 3-6 7-5,3,F,145,3,8,94,53,37,19,15,6,10,0,3,96,65,42,16,16,3,8,103,571,31,1510
2025-8996,Santiago,Clay,28,A,20250224,384,111513,,,Laslo Djere,R,188,SRB,29.7,202103,1,,Francisco Cerundolo,R,185,ARG,26.5,6-1 4-6 6-3,3,SF,121,4,3,83,50,36,19,13,5,6,2,3,87,55,38,13,13,5,9,103,571,26,1725
2025-8996,Santiago,Clay,28,A,20250224,383,202104,3,,Sebastian Baez,R,170,ARG,24.1,200116,,,Camilo Ugo Carabelli,R,185,ARG,25.6,6-1 3-6 6-2,3,SF,107,2,3,75,51,34,13,12,4,6,3,1,77,47,29,14,12,5,10,31,1510,69,847
2025-8996,Santiago,Clay,28,A,20250224,382,202103,1,,Francisco Cerundolo,R,185,ARG,26.5,144869,5,,Tomas Martin Etcheverry,R,196,ARG,25.6,4-6 6-3 7-5,3,QF,174,5,3,99,58,48,18,16,3,5,9,4,121,71,46,23,15,11,14,26,1725,43,1240
2025-8996,Santiago,Clay,28,A,20250224,381,111513,,,Laslo Djere,R,188,SRB,29.7,210262,,,Jaime Faria,R,188,POR,21.5,7-6(5) 4-6 6-4,3,QF,162,8,6,109,55,42,30,16,11,14,4,10,106,65,52,16,16,7,10,103,571,87,674
2025-8996,Santiago,Clay,28,A,20250224,380,202104,3,,Sebastian Baez,R,170,ARG,24.1,106000,,,Damir Dzumhur,R,175,BIH,32.7,6-4 6-4,3,QF,96,2,0,66,43,25,9,10,3,7,0,3,65,46,22,7,10,4,10,31,1510,90,662
2025-8996,Santiago,Clay,28,A,20250224,379,200116,,,Camilo Ugo Carabelli,R,185,ARG,25.6,105948,,,Federico Coria,R,180,ARG,32.9,6-4 6-3,3,QF,89,2,2,56,38,25,8,10,1,5,2,2,63,41,21,7,9,9,15,69,847,136,433
2025-8996,Santiago,Clay,28,A,20250224,378,202103,1,,Francisco Cerundolo,R,185,ARG,26.5,105870,,,Yannick Hanfmann,R,193,GER,33.2,6-2 4-6 7-6(5),3,R16,148,9,3,110,65,45,25,15,10,13,3,3,94,63,41,17,15,3,7,26,1725,109,534
2025-8996,Santiago,Clay,28,A,20250224,377,144869,5,,Tomas Martin Etcheverry,R,196,ARG,25.6,106426,,WC,Cristian Garin,R,185,CHI,28.7,6-2 6-4,3,R16,95,6,3,60,39,28,12,9,4,5,1,1,51,27,15,14,9,4,8,43,1240,147,402
2025-8996,Santiago,Clay,28,A,20250224,376,111513,,,Laslo Djere,R,188,SRB,29.7,124079,4,,Pedro Martinez,R,185,ESP,27.8,6-1 6-4,3,R16,82,13,3,55,39,33,7,9,4,4,0,3,57,41,25,4,8,7,10,103,571,36,1385
2025-8996,Santiago,Clay,28,A,20250224,375,210262,,,Jaime Faria,R,188,POR,21.5,208361,,Q,Gustavo Heide,R,191,BRA,22.9,6-7(2) 7-6(5) 6-4,3,R16,167,16,8,109,62,52,28,17,4,4,12,10,130,67,57,33,17,12,13,87,674,160,359
2025-8996,Santiago,Clay,28,A,20250224,374,106000,,,Damir Dzumhur,R,175,BIH,32.7,208363,6,,Mariano Navone,R,178,ARG,23.9,6-4 3-6 6-3,3,R16,156,0,3,110,74,44,20,14,7,10,3,5,87,61,39,14,14,3,7,90,662,64,890
2025-8996,Santiago,Clay,28,A,20250224,373,202104,3,,Sebastian Baez,R,170,ARG,24.1,207681,,,Francisco Comesana,R,178,ARG,24.3,6-3 5-7 7-6(5),3,R16,153,1,2,100,70,47,17,16,1,4,11,3,121,68,45,27,17,9,13,31,1510,67,848
2025-8996,Santiago,Clay,28,A,20250224,372,200116,,,Camilo Ugo Carabelli,R,185,ARG,25.6,106329,,,Thiago Monteiro,L,183,BRA,30.7,4-6 7-6(2) 6-3,3,R16,161,7,6,96,67,57,9,15,6,7,5,4,104,66,48,20,16,6,8,69,847,108,540
2025-8996,Santiago,Clay,28,A,20250224,371,105948,,,Federico Coria,R,180,ARG,32.9,126214,2,,Alejandro Tabilo,L,188,CHI,27.7,7-6(11) 4-6 6-3,3,R16,157,10,3,101,64,45,21,16,4,7,8,4,115,69,46,25,15,9,12,136,433,28,1690
2025-8996,Santiago,Clay,28,A,20250224,370,105870,,,Yannick Hanfmann,R,193,GER,33.2,207680,,,Facundo Diaz Acosta,L,183,ARG,24.1,7-5 6-3,3,R32,92,3,1,51,33,27,10,10,1,3,4,6,72,40,25,12,11,5,10,109,534,130,448
2025-8996,Santiago,Clay,28,A,20250224,369,106426,,WC,Cristian Garin,R,185,CHI,28.7,126663,,Q,Juan Pablo Ficovich,R,191,ARG,28.0,2-6 6-4 6-4,3,R32,150,9,2,87,58,39,17,14,4,7,3,1,110,66,43,24,14,13,16,147,402,175,330
2025-8996,Santiago,Clay,28,A,20250224,368,144869,5,,Tomas Martin Etcheverry,R,196,ARG,25.6,200384,,,Hugo Gaston,L,173,FRA,24.4,6-2 6-3,3,R32,92,4,0,49,26,16,17,8,6,7,0,6,65,30,17,14,9,9,14,43,1240,92,636
2025-8996,Santiago,Clay,28,A,20250224,367,111513,,,Laslo Djere,R,188,SRB,29.7,209860,,WC,Ignacio Buse,R,185,PER,20.9,6-3 6-4,3,R32,114,5,3,66,42,31,11,9,2,3,1,4,87,49,30,16,10,8,12,103,571,227,245
2025-8996,Santiago,Clay,28,A,20250224,366,208361,,Q,Gustavo Heide,R,191,BRA,22.9,205734,,,Thiago Seyboth Wild,R,185,BRA,24.9,7-5 6-2,3,R32,104,7,4,62,39,29,17,10,3,3,5,6,77,45,31,14,10,4,7,160,359,86,682
2025-8996,Santiago,Clay,28,A,20250224,365,210262,,,Jaime Faria,R,188,POR,21.5,209260,8,,Luciano Darderi,R,183,ITA,23.0,6-3 6-4,3,R32,79,12,3,59,40,33,11,10,4,4,1,2,60,33,24,13,9,5,7,87,674,59,985
